"";"country"
"1";"Afghanistan"
"2";"Algeria"
"3";"Angola"
"4";"Argentina"
"5";"Armenia"
"6";"Azerbaijan"
"7";"Bangladesh"
"8";"Belize"
"9";"Benin"
"10";"Bhutan"
"11";"Bolivia (Plurinational State of)"
"12";"Botswana"
"13";"Brazil"
"14";"Burkina Faso"
"15";"Burundi"
"16";"Cabo Verde"
"17";"Cambodia"
"18";"Cameroon"
"19";"Central African Republic"
"20";"Chad"
"21";"China"
"22";"Colombia"
"23";"Comoros"
"24";"Congo"
"25";"Costa Rica"
"26";"C̫te d'Ivoire"
"27";"Democratic People's Republic of Korea"
"28";"Democratic Republic of the Congo"
"29";"Djibouti"
"30";"Dominican Republic"
"31";"Ecuador"
"32";"Egypt"
"33";"El Salvador"
"34";"Equatorial Guinea"
"35";"Eritrea"
"36";"Eswatini"
"37";"Ethiopia"
"38";"Gabon"
"39";"Gambia"
"40";"Georgia"
"41";"Ghana"
"42";"Guatemala"
"43";"Guinea"
"44";"Guinea-Bissau"
"45";"Guyana"
"46";"Haiti"
"47";"Honduras"
"48";"India"
"49";"Indonesia"
"50";"Iran (Islamic Republic of)"
"51";"Iraq"
"52";"Kazakhstan"
"53";"Kenya"
"54";"Kyrgyzstan"
"55";"Lao People's Democratic Republic"
"56";"Liberia"
"57";"Madagascar"
"58";"Malawi"
"59";"Malaysia"
"60";"Mali"
"61";"Mauritania"
"62";"Mauritius"
"63";"Mexico"
"64";"Morocco"
"65";"Mozambique"
"66";"Myanmar"
"67";"Namibia"
"68";"Nepal"
"69";"Nicaragua"
"70";"Niger"
"71";"Nigeria"
"72";"Oman"
"73";"Pakistan"
"74";"Panama"
"75";"Papua New Guinea"
"76";"Paraguay"
"77";"Peru"
"78";"Philippines"
"79";"Republic of Korea"
"80";"Rwanda"
"81";"Sao Tome and Principe"
"82";"Saudi Arabia"
"83";"Senegal"
"84";"Sierra Leone"
"85";"Solomon Islands"
"86";"Somalia"
"87";"South Africa"
"88";"South Sudan"
"89";"Sri Lanka"
"90";"Sudan"
"91";"Suriname"
"92";"Syrian Arab Republic"
"93";"Tajikistan"
"94";"Thailand"
"95";"Timor-Leste"
"96";"Togo"
"97";"Turkey"
"98";"Turkmenistan"
"99";"Uganda"
"100";"United Arab Emirates"
"101";"United Republic of Tanzania"
"102";"Uzbekistan"
"103";"Vanuatu"
"104";"Venezuela (Bolivarian Republic of)"
"105";"Viet Nam"
"106";"Yemen"
"107";"Zambia"
"108";"Zimbabwe"
